,location.postalCode,location.lat,location.lng,categories
37,M4A,43.7281951,-79.3153792,Building
38,M4A,43.720616,-79.31583,Storage Facility
39,M4A,43.721445,-79.307201,City Hall
41,M4A,43.72017102830438,-79.3121958344716,Automotive Shop
42,M3C,43.727442,-79.326833,Pharmacy
47,M3C,43.727623,-79.326415,Grocery Store
48,M4A,43.72191506921843,-79.31115584654626,Community Center
49,M3C,43.724818,-79.325671,Assisted Living
50,M4A,43.725426515429916,-79.31517816938552,Automotive Shop
51,M4A,43.725145,-79.315593,Spiritual Center
52,M4A,43.722395,-79.308554,Playground
53,M4A,43.721348,-79.30796,Sports Club
54,M4A,43.731507,-79.311712,Food Stand
55,M3C,43.724898,-79.325886,Rest Area
56,M6K,43.72847156093949,-79.32559908487006,Food Truck
57,M4A,43.725018,-79.308602,Office
58,M4A,43.718853,-79.309782,Photography Lab
59,M4A,43.72246187119982,-79.30729293273005,Medical Center
60,M4A,43.72111793836618,-79.31143647935112,Miscellaneous Shop
61,M4A,43.730462,-79.307488,Doctor's Office
62,M4A,43.73047326694035,-79.30750754324949,Dentist's Office
63,M4A,43.722998,-79.314543,School
64,M4A,43.723954224429555,-79.31394012680401,Office
65,M4A,43.72723539236047,-79.32023471479889,Residential Building (Apartment / Condo)
66,M4A,43.72623616001571,-79.31183816797497,Residential Building (Apartment / Condo)
67,M4A,43.72140186349522,-79.31183266540278,Event Space
68,M4A,43.7198560763247,-79.31268556021888,Bank
69,M3C,43.72537734173763,-79.3256045866295,Convenience Store
70,M4A,43.730996458596,-79.310451509513,School
71,M4A,43.72666,-79.31812,Residential Building (Apartment / Condo)
73,M4A,43.731023438497964,-79.3107706628902,Park
74,M4A,43.72348055545508,-79.31563520925143,Hockey Arena
75,M4A,43.7196525512418,-79.31584608789252,Office
76,M4A,43.725676322473134,-79.31390160966002,Bus Stop
77,M4A,43.72499763224317,-79.31817691549372,Building
78,M4A,43.72660188313635,-79.31242694132447,Grocery Store
79,M4A,43.72117935889466,-79.31501182815421,Office
80,M4A,43.720914,-79.312516,Playground
81,M4A,43.726644143076946,-79.32029762917757,Residential Building (Apartment / Condo)
82,M4A,43.72476197298002,-79.30701971054077,Event Space
83,M4A,43.7311,-79.3143,Residential Building (Apartment / Condo)
84,M3C,43.725776,-79.323748,Residential Building (Apartment / Condo)
85,M3C,43.72527048906722,-79.32561777429687,Residential Building (Apartment / Condo)
86,M4A,43.72677912059946,-79.32029472176518,Residential Building (Apartment / Condo)
87,M3C,43.72711916570133,-79.32641884344105,Residential Building (Apartment / Condo)
88,M4A,43.730584,-79.307432,Pharmacy
89,M4A,43.730529,-79.30751,Bank
90,M4A,43.725171,-79.312282,Automotive Shop
91,M4A,43.719393,-79.313924,Automotive Shop
